#m lambda
0.9808 0.00485432
0.9809 0.00204229
0.9811 0.00232671
0.9812 0.00353684
0.9813 0.00240378
0.9814 0.00287912
0.9815 0.00411438
0.9816 0.00328051
0.9817 0.00387032
0.9818 0.0016468
0.9819 0.00363255
0.981 0.0018994
0.9821 0.00337094
0.9822 0.00198863
0.9823 0.00236435
0.9824 0.00281931
0.9825 0.00279183
0.9826 0.00247697
0.9827 0.00291574
0.9828 0.00125182
0.9829 0.0016757
0.982 0.0043421
0.9831 0.00134957
0.9832 0.0024505
0.9833 0.00293491
0.9834 0.0027689
0.9835 0.00244484
0.9836 0.0025546
0.9837 0.00286447
0.9838 0.00302166
0.9839 0.00249556
0.983 0.00180224
0.9841 0.00133874
0.9842 0.00126347
0.9843 0.00191194
0.9844 0.00144743
0.9845 0.00114072
0.9846 0.00159168
0.9847 0.00224928
0.9848 0.00312771
0.9849 0.00148577
0.984 0.00123437
0.9851 0.0012607
0.9852 0.00162039
0.9853 0.00184816
0.9854 0.0026631
0.9855 0.00197551
0.9856 0.00142797
0.9857 0.00255523
0.9858 0.00146029
0.9859 0.00157928
0.985 0.0022999
0.9861 0.00118387
0.9862 0.00163608
0.9863 0.00204762
0.9864 0.00264842
0.9865 0.00097285
0.9866 0.00257074
0.9867 0.00208128
0.9868 0.0026215
0.9869 0.00301248
0.986 0.00175021
0.9871 0.00138691
0.9872 0.0020267
0.9873 0.00171575
0.9874 0.00223655
0.9875 0.0011345
0.9876 0.00265293
0.9877 0.0024881
0.9878 0.00184446
0.9879 0.00192854
0.987 0.00204151
0.9881 0.00179279
0.9882 0.00230261
0.9883 0.00208332
0.9884 0.00147113
0.9885 0.00100926
0.9886 0.0023657
0.9887 0.00220944
0.9888 0.00182524
0.9889 0.00266872
0.988 0.00149442
0.9891 0.00125253
0.9892 0.00168646
0.9893 0.00104976
0.9894 0.00200951
0.9895 0.00214948
0.9896 0.00138438
0.9897 0.00233803
0.9898 0.0025392
0.9899 0.00161752
0.989 0.00234093
0.98 0.00184783
0.9901 0.00253588
0.9902 0.00182738
0.9903 0.00186914
0.9904 0.000908809
0.9905 0.00160771
0.9906 0.00140982
0.9907 0.00222501
0.9908 0.00204399
0.9909 0.00234647
0.9911 0.00130562
0.9912 0.00110379
0.9913 0.00117891
0.9914 0.00161629
0.9915 0.0010823
0.9916 0.000938627
0.9917 0.00212007
0.9918 0.00126818
0.9919 0.00179309
0.991 0.00215491
0.9921 0.00217324
0.9922 0.00229825
0.9923 0.00106751
0.9924 0.000968419
0.9925 0.00222086
0.9926 0.00136871
0.9927 0.00247432
0.9928 0.00112979
0.9929 0.00174034
0.992 0.00237418
0.9931 0.00200714
0.9932 0.000921229
0.9933 0.00205862
0.9934 0.00221659
0.9935 0.00127627
0.9936 0.00175807
0.9937 0.00118726
0.9938 0.00116754
0.9939 0.0013483
0.993 0.00155115
0.9941 0.00180766
0.9942 0.00140625
0.9943 0.00114718
0.9944 0.00231316
0.9945 0.00207285
0.9946 0.00210793
0.9947 0.00228164
0.9948 0.00211476
0.9949 0.00097679
0.994 0.00119219
0.9951 0.00128891
0.9952 0.00109904
0.9953 0.00185331
0.9954 0.00217516
0.9955 0.000991923
0.9956 0.00211948
0.9957 0.00201699
0.9958 0.00125618
0.9959 0.000980294
0.995 0.00171695
0.9961 0.000804864
0.9962 0.00181584
0.9963 0.000836535
0.9964 0.00127324
0.9965 0.00170619
0.9966 0.000959302
0.9967 0.00193006
0.9968 0.00101818
0.9969 0.000783135
0.996 0.00146015
0.9971 0.00208966
0.9972 0.00213072
0.9973 0.00151582
0.9974 0.00115179
0.9975 0.000927892
0.9976 0.00198724
0.9977 0.00186625
0.9978 0.000947726
0.9979 0.000811129
0.997 0.00176622
0.9981 0.00159546
0.9982 0.00150887
0.9983 0.00187947
0.9984 0.000801508
0.9985 0.000921585
0.9986 0.00117226
0.9987 0.00219265
0.9988 0.00223805
0.9989 0.00205095
0.998 0.00222227
0.9991 0.000769328
0.9992 0.000866853
0.9993 0.00168846
0.9994 0.00211771
0.9995 0.000744044
0.9996 0.000965263
0.9997 0.00183211
0.9998 0.000913278
0.9999 0.00158501
0.999 0.0021066
0.99 0.00114718
0.9 0.0459398
1.0 0.000925204
