#./munderdamped_3d_gle --dev=0 --amp=8.0 --omega=5.0 --force=0.0 --mass=1.0 --Dg=0.0001 --tau=0.1 --block=1 --paths=1 --periods=100.0 --trans=80 --samples=1 --spp=100 --algorithm=predcorr --pav=1 --mode=trajectory --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/traj-f0.0-D0.0001-m1.0-a8.0-w5.0-t0.1-t1e2.dat
#t <x> <v> <x^2> <v^2> qnu(q) mu_q Dx Gx EBx
1.023782e+02 -1.366373e+01 -1.633511e+00 1.866976e+02 2.668359e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.023908e+02 -1.368433e+01 -1.645548e+00 1.872610e+02 2.707829e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024034e+02 -1.370511e+01 -1.661385e+00 1.878301e+02 2.760201e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024159e+02 -1.372612e+01 -1.682235e+00 1.884064e+02 2.829914e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024285e+02 -1.374742e+01 -1.708058e+00 1.889916e+02 2.917463e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024411e+02 -1.376908e+01 -1.738885e+00 1.895875e+02 3.023722e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024536e+02 -1.379116e+01 -1.774441e+00 1.901960e+02 3.148640e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024662e+02 -1.381371e+01 -1.814844e+00 1.908185e+02 3.293658e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024788e+02 -1.383679e+01 -1.859439e+00 1.914568e+02 3.457515e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.024913e+02 -1.386046e+01 -1.907524e+00 1.921124e+02 3.638648e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025039e+02 -1.388475e+01 -1.957730e+00 1.927862e+02 3.832705e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025165e+02 -1.390968e+01 -2.009933e+00 1.934792e+02 4.039829e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025290e+02 -1.393527e+01 -2.062463e+00 1.941916e+02 4.253754e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025416e+02 -1.396150e+01 -2.113260e+00 1.949235e+02 4.465869e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
