#./overdamped_3d --dev=1 --amp=250.0 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> 1D_double_s:-1:3:300:1_250.0_5.0_0.99_1.0_0.0.dat
#s <<v>> qnu(q) mu_q Dx Gx EBx
1.584888e+01 5.002660e-01 8.480436e-01 6.053265e+05 4.817079e+01 1.154966e-01 2.276659e-03
1.634300e+01 4.493479e-01 9.285084e-01 5.891560e+05 4.688231e+01 1.004465e-01 2.407551e-03
1.685253e+01 4.026222e-01 1.005548e+00 7.287448e+05 5.799173e+01 -5.923069e-02 2.251625e-03
1.737795e+01 3.695409e-01 1.018184e+00 7.973895e+05 6.345432e+01 -1.127522e-01 2.169967e-03
1.791974e+01 3.222170e-01 9.668697e-01 6.985256e+05 5.558691e+01 -1.887721e-02 2.262235e-03
1.847843e+01 2.985284e-01 9.621137e-01 7.234114e+05 5.756740e+01 -3.011292e-02 2.232194e-03
1.905454e+01 2.711177e-01 9.258813e-01 7.125968e+05 5.670645e+01 -1.377743e-02 2.438545e-03
1.964861e+01 2.520322e-01 9.923536e-01 8.395814e+05 6.681196e+01 -4.803663e-02 2.332330e-03
2.026120e+01 2.407153e-01 9.259450e-01 7.347329e+05 5.846832e+01 -2.426678e-02 2.450347e-03
2.089288e+01 2.328200e-01 9.055595e-01 7.668526e+05 6.102409e+01 -1.378125e-02 2.398014e-03
2.154427e+01 2.273894e-01 9.399757e-01 8.654851e+05 6.887308e+01 -3.072083e-03 2.257466e-03
2.221596e+01 2.315108e-01 9.598017e-01 8.521811e+05 6.781447e+01 4.496229e-02 2.558827e-03
2.290859e+01 2.261383e-01 9.072623e-01 8.433646e+05 6.711281e+01 2.209425e-02 2.408147e-03
2.362282e+01 2.306060e-01 1.003802e+00 9.145755e+05 7.277965e+01 -6.923079e-04 2.436876e-03
2.435931e+01 2.337051e-01 9.585179e-01 8.935732e+05 7.110838e+01 9.150136e-02 2.432704e-03
2.511877e+01 2.588724e-01 9.580645e-01 9.143289e+05 7.275967e+01 1.955414e-02 2.528787e-03
2.590190e+01 2.833813e-01 9.430347e-01 9.655610e+05 7.683651e+01 3.642190e-02 2.804995e-03
2.670945e+01 3.069060e-01 9.462672e-01 9.830822e+05 7.823130e+01 8.846760e-03 2.702117e-03
2.754218e+01 3.519011e-01 1.091160e+00 1.075777e+06 8.560789e+01 1.539350e-01 2.568841e-03
2.840087e+01 3.760581e-01 9.352617e-01 1.043021e+06 8.300038e+01 1.241430e-01 2.533078e-03
2.928633e+01 4.052336e-01 9.649004e-01 1.031221e+06 8.206156e+01 1.139888e-01 2.500534e-03
3.019939e+01 4.615263e-01 9.454057e-01 1.071804e+06 8.529297e+01 2.164559e-01 2.758741e-03
3.114093e+01 5.047200e-01 1.001756e+00 1.195336e+06 9.512206e+01 1.264979e-01 2.442241e-03
3.211182e+01 5.508074e-01 9.757788e-01 1.120743e+06 8.918566e+01 2.121711e-02 2.581954e-03
3.311298e+01 6.103789e-01 9.462208e-01 1.130702e+06 8.998087e+01 8.263445e-02 2.736330e-03
3.414534e+01 6.790676e-01 9.244525e-01 1.203110e+06 9.573902e+01 1.973760e-01 2.562165e-03
3.520990e+01 7.447399e-01 9.980596e-01 1.339870e+06 1.066206e+02 1.622880e-01 2.604127e-03
3.630765e+01 8.082927e-01 9.573937e-01 1.232412e+06 9.806969e+01 8.055091e-03 2.562284e-03
3.743962e+01 8.918153e-01 9.955505e-01 1.323255e+06 1.053028e+02 1.870649e-01 2.594352e-03
3.860689e+01 9.869072e-01 9.443170e-01 1.205728e+06 9.595070e+01 1.698132e-01 2.681732e-03
3.981054e+01 1.065357e+00 1.072538e+00 1.389798e+06 1.105917e+02 1.547896e-01 2.302289e-03
4.105173e+01 1.154748e+00 9.458693e-01 1.349548e+06 1.073974e+02 5.304718e-02 2.620816e-03
4.233161e+01 1.239762e+00 9.715936e-01 1.401113e+06 1.114976e+02 1.834069e-01 2.468348e-03
4.365139e+01 1.342895e+00 9.792464e-01 1.435788e+06 1.142535e+02 1.887164e-01 2.389550e-03
4.501232e+01 1.437882e+00 9.832750e-01 1.564532e+06 1.245025e+02 1.665423e-01 2.538204e-03
4.641568e+01 1.534122e+00 9.277775e-01 1.390183e+06 1.106509e+02 1.512132e-01 2.478004e-03
4.786279e+01 1.609409e+00 9.876691e-01 1.593346e+06 1.268051e+02 1.382741e-01 2.513885e-03
4.935502e+01 1.666967e+00 9.307772e-01 1.610734e+06 1.281815e+02 -2.217889e-03 2.351522e-03
5.089378e+01 1.717345e+00 9.082341e-01 1.522122e+06 1.211207e+02 6.432307e-02 2.526879e-03
5.248050e+01 1.728839e+00 9.735048e-01 1.609157e+06 1.280605e+02 6.077969e-02 2.512455e-03
5.411670e+01 1.704944e+00 9.989223e-01 1.799812e+06 1.432388e+02 8.610964e-03 2.413988e-03
5.580391e+01 1.663771e+00 9.801206e-01 1.801039e+06 1.433158e+02 5.528510e-02 2.504110e-03
5.754372e+01 1.590925e+00 8.757398e-01 1.618294e+06 1.288003e+02 1.026692e-01 2.528191e-03
5.933778e+01 1.506546e+00 9.779117e-01 1.926446e+06 1.532980e+02 8.550632e-02 2.567172e-03
6.118777e+01 1.394430e+00 8.506176e-01 1.751524e+06 1.393930e+02 5.366802e-03 2.509475e-03
6.309543e+01 1.293965e+00 1.023884e+00 2.175031e+06 1.730829e+02 3.282070e-02 2.537012e-03
6.506258e+01 1.202257e+00 9.210021e-01 1.951352e+06 1.552738e+02 2.616978e-02 2.525687e-03
