#./double_munderdamped_3d --dev=1 --amp=250.0 --omega=1 --mass=1.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> 1D_double_s:-1:3:300:1_250.0_5.0_0.99_1.0_1.0.dat
#s <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
4.786301e+00 3.927419e-06 1.422917e+01 -2.232400e-02 5.730637e-02 4.560296e-06 1.865126e-01 1.382685e-01 5.964128e-04 2.273847e+02
4.935525e+00 6.918054e-07 1.465523e+01 3.863452e-02 1.015134e-01 8.078180e-06 4.600608e+01 2.124496e-01 5.432874e-04 7.970002e+03
5.089401e+00 -1.270113e-06 1.509810e+01 6.156387e-02 6.617180e-02 5.265785e-06 2.415211e-01 1.968322e-01 5.673425e-04 2.493069e+03
5.248075e+00 -1.649332e-06 1.557441e+01 -7.638257e-02 6.045965e-02 4.811226e-06 2.326682e-01 5.526208e-02 5.191300e-04 1.460564e+03
5.411695e+00 8.756732e-07 1.605202e+01 -5.195158e-02 6.378477e-02 5.075830e-06 2.415295e-01 1.274018e-01 5.865118e-04 5.510929e+03
5.580417e+00 3.047100e-06 1.654878e+01 -6.943731e-02 6.507508e-02 5.178510e-06 2.449379e-01 1.836577e-01 5.129681e-04 4.461834e+02
5.754399e+00 1.735246e-06 1.704508e+01 -4.488376e-02 1.053111e-01 8.380393e-06 3.290577e+01 2.229039e-01 5.077688e-04 1.499179e+03
5.933806e+00 2.796666e-06 1.759849e+01 2.152819e-02 7.524586e-02 5.987875e-06 1.037416e-01 2.096470e-01 5.301882e-04 6.336959e+02
6.118806e+00 8.933939e-07 1.811923e+01 -5.519411e-02 7.248901e-02 5.768492e-06 1.650961e-01 2.229643e-01 5.136317e-04 5.828188e+03
6.309573e+00 -2.440489e-06 1.867021e+01 -5.833730e-02 1.470168e-01 1.169923e-05 3.902302e+01 1.806769e-01 5.324794e-04 8.244485e+02
6.506289e+00 2.806853e-06 1.925396e+01 3.733861e-01 2.351235e-01 1.871053e-05 3.475241e+01 4.223227e-01 5.629901e-04 1.130936e+03
6.709137e+00 8.643095e-06 1.981524e+01 7.362872e-01 4.283292e-01 3.408535e-05 2.310885e+01 1.848045e-01 4.937061e-04 2.042507e+02
6.918310e+00 5.958817e-06 2.044052e+01 8.569734e-01 3.552635e-01 2.827097e-05 2.687557e+01 1.263460e-02 5.329144e-04 3.909016e+02
